Al,As,Ba,bc,Br,Ca,Cl,Cr,Cu,Fe,K,Mn,Ni,Pb,S,Se,Si,Ti,V,Zn
-1,-1,-1,0.68213194,0.002,-1,0.0027,5e-4,0.0054,-1,-1,-1,0.0026,-1,0.7499,-1,-1,-1,0.0033,-1
-1,0.0012,0.0206,-1,0.0151,0.0428,0.0239,9e-4,0.0056,0.0686,0.0439,-1,0.0055,0.0057,-1,-1,0.0956,0.0032,0.0044,0.0244
-1,-1,0.0099,-1,-1,0.0332,0.0044,5e-4,-1,-1,-1,-1,0.0025,-1,-1,4e-4,-1,-1,0.0056,0.0094
-1,5e-4,0.0076,-1,0.0018,-1,-1,-1,0.0033,-1,-1,4e-4,0.0025,-1,-1,-1,-1,-1,0.0026,-1
-1,0.0019,-1,-1,6e-4,-1,0.0034,8e-4,-1,-1,0.043,-1,0.0045,-1,0.9243,-1,-1,-1,0.0042,-1
-1,8e-4,0.0256,1.09344965,-1,-1,0.0043,-1,0.0033,0.1031,0.0505,0.0023,0.0094,-1,1.3946,-1,-1,-1,0.01,0.0256
-1,0.0019,-1,-1,-1,-1,-1,6e-4,0.0037,0.0651,0.0383,-1,0.0044,-1,0.9428,-1,-1,-1,0.0032,0.0148
-1,-1,-1,0.64147083,8e-4,-1,-1,8e-4,0.0035,-1,-1,0.0013,0.0038,-1,1.1079,4e-4,-1,-1,0.004,0.0096
-1,0.0015,0.0157,1.00802431,0.0016,0.0326,0.0079,0.0015,0.009,0.1368,0.05,-1,0.0074,-1,1.0768,-1,0.1001,0.0038,0.0061,0.0368
-1,-1,0.0295,0.79111771,4e-4,-1,-1,-1,0.0049,0.0546,-1,-1,0.0018,-1,-1,-1,-1,-1,0.0033,0.014
-1,0.0013,-1,-1,0.0019,0.0312,0.0251,-1,-1,-1,-1,-1,0.0027,-1,-1,-1,0.0646,-1,-1,-1
-1,7e-4,0.01,-1,0.002,-1,0.022,-1,-1,-1,-1,0.002,0.0033,0.0083,-1,0.0018,-1,-1,0.0032,-1
-1,4e-4,0.0074,-1,3e-4,0.0285,-1,-1,-1,-1,-1,0.0024,0.0018,-1,-1,-1,0.072,-1,-1,0.0123
-1,-1,-1,-1,-1,-1,-1,-1,0.0051,0.0568,0.0356,-1,0.0025,-1,-1,-1,0.0664,-1,0.0033,0.0114
0.0541,5e-4,-1,-1,-1,0.0269,-1,-1,0.0062,-1,0.0344,-1,0.0028,-1,0.7283,-1,0.0693,-1,-1,0.0133
0.0538,-1,-1,-1,5e-4,0.0275,0.0033,6e-4,0.0062,0.0789,0.0411,-1,0.0058,0.0114,0.7333,-1,0.0738,0.0038,0.0067,0.0121
0.0429,0.0011,0.0275,0.70052326,-1,0.0344,0.0063,-1,0.0057,0.091,0.0416,9e-4,0.003,-1,0.7263,-1,0.0726,0.0043,0.0041,0.0177
0.0569,-1,-1,-1,0.0019,0.035,0.0196,-1,-1,0.0882,0.09,0.002,0.0087,-1,1.2998,0.0027,0.0741,0.0033,0.0111,0.0182
0.0626,-1,0.0083,0.98193576,0.0017,0.0267,0.0119,8e-4,-1,0.0593,0.0951,1e-4,0.0063,0.0093,1.7022,-1,0.0984,-1,0.007,0.0397
-1,0.0014,0.0091,-1,-1,0.0281,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0679,0.0042,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,7e-4,-1,-1,0.002,-1,0.0701,-1,0.0063,-1,-1,-1,-1,-1,-1,0.0023,-1,-1,-1,-1
0.0503,0.0029,0.0305,-1,-1,0.0342,0.007,-1,-1,0.0607,0.0441,-1,0.0019,-1,-1,-1,-1,-1,0.0032,0.0102
-1,-1,-1,-1,-1,0.0273,-1,-1,0.0044,-1,0.0345,0.003,0.0032,-1,-1,-1,-1,-1,0.0024,-1
0.0554,-1,0.0071,0.7329897,0.0049,-1,0.01,8e-4,-1,-1,0.0705,-1,0.0056,0.0117,1.4005,-1,-1,0.0042,0.0065,0.017
-1,-1,-1,-1,5e-4,-1,0.004,9e-4,-1,-1,-1,3e-4,-1,-1,-1,-1,-1,-1,-1,0.0086
0.0502,0.0022,0.0264,-1,-1,0.0333,0.0076,-1,-1,0.0721,0.0587,-1,0.0033,0.0051,0.9978,-1,0.068,0.0036,0.0057,0.0139
-1,0.0012,-1,1.03155556,0.0039,0.0342,0.0211,7e-4,0.0059,0.0908,0.0905,0.0028,0.0175,0.0128,2.1065,-1,-1,0.0042,0.0129,0.034
0.0472,-1,-1,1.277875,0.0065,0.0552,0.1512,5e-4,0.0064,0.1555,0.1056,0.0038,0.0172,0.0092,2.2351,-1,-1,0.0049,0.0155,0.0492
-1,0.0012,0.0067,1.1328941,0.0022,-1,0.0058,-1,-1,-1,0.0512,-1,0.0043,0.0081,2.3377,-1,-1,-1,0.0102,0.0213
-1,0.0012,0.0144,-1,0.0011,-1,-1,-1,-1,-1,-1,-1,0.0062,0.0055,1.2554,-1,-1,-1,0.0075,0.0222
-1,-1,-1,-1,0.0013,-1,-1,-1,0.0055,-1,-1,3e-4,0.0017,-1,0.8385,-1,-1,-1,-1,-1
-1,-1,-1,-1,3e-4,0.0265,0.0076,-1,0.0039,0.0683,-1,-1,0.0031,0.007,1.2383,-1,-1,0.0029,0.0031,-1
-1,-1,0.0268,1.5253316,-1,0.0333,0.0031,-1,0.0039,0.0806,-1,-1,0.004,-1,0.8612,4e-4,-1,-1,0.0026,0.0203
-1,-1,-1,-1,8e-4,-1,-1,6e-4,-1,-1,-1,-1,-1,0.0071,-1,-1,-1,-1,-1,-1
0.0459,-1,0.0075,-1,-1,-1,-1,-1,-1,0.0666,0.034,6e-4,0.0051,0.0073,0.9869,-1,0.0683,0.0035,0.0058,0.0094
-1,0.0014,0.0142,1.16052778,0.0015,-1,0.0049,-1,0.0098,0.1438,0.0534,0.0021,0.0061,0.0067,1.4704,-1,-1,-1,0.0052,0.0325
-1,6e-4,0.0073,-1,7e-4,-1,-1,0.001,-1,-1,0.0466,-1,0.0023,0.0068,1.1127,-1,-1,-1,0.0021,0.0117
-1,0.0017,0.0102,-1,-1,-1,0.0036,6e-4,-1,0.0547,0.0578,2e-4,0.0048,-1,1.779,0.001,-1,-1,0.0043,0.0139
0.0529,-1,0.0228,0.98266699,-1,-1,-1,7e-4,0.0032,-1,0.0368,3e-4,0.0027,0.0068,1.4964,-1,-1,-1,0.0042,0.0182
-1,-1,-1,-1,0.001,-1,0.0063,-1,0.0041,-1,-1,6e-4,0.0021,0.0112,-1,-1,-1,-1,0.0035,0.0171
-1,0.0023,0.0074,0.60646285,0.0026,0.0292,0.0028,9e-4,-1,-1,-1,-1,-1,0.012,0.8199,0.0014,-1,-1,0.0027,0.0086
-1,8e-4,0.0136,-1,-1,0.0389,0.0075,-1,-1,0.0556,0.0435,-1,0.0031,0.0054,0.7802,6e-4,0.0746,0.004,0.0029,0.015
0.0491,-1,-1,-1,-1,0.0394,0.0157,-1,0.0034,-1,0.0406,-1,0.0047,0.0086,0.8059,-1,-1,-1,0.0056,-1
-1,0.0015,0.0068,-1,0.0015,-1,0.0098,5e-4,-1,-1,0.0382,-1,-1,0.0084,-1,-1,0.0667,-1,0.003,-1
0.0827,-1,-1,-1,0.002,0.027,0.015,5e-4,0.0041,0.0605,0.0575,-1,0.0073,0.0054,0.7448,-1,0.086,-1,0.0088,0.012
-1,0.0015,-1,0.6706184,-1,-1,0.0045,-1,0.0036,-1,0.0391,-1,0.0067,0.0058,-1,-1,-1,-1,0.008,-1
-1,4e-4,-1,0.64273958,0.0034,-1,0.0062,-1,0.0041,-1,0.0399,-1,0.0083,0.0084,1.0317,-1,-1,-1,0.0097,-1
0.0692,0.0016,0.0292,1.48851736,0.0043,-1,-1,9e-4,0.0092,0.0594,0.0517,-1,0.006,0.0087,3.0829,-1,-1,0.0035,0.0071,0.0228
0.0423,0.0017,-1,0.77719479,-1,-1,-1,-1,-1,0.0543,0.037,-1,-1,0.0094,1.2519,0.0025,-1,0.0029,0.0024,0.0112
0.0866,0.001,0.0135,0.87285208,0.0029,0.0384,0.0057,7e-4,0.0071,0.1163,0.0517,-1,0.0104,0.0129,1.7453,-1,0.1153,0.0062,0.0167,0.0234
-1,-1,-1,1.40349306,-1,-1,-1,9e-4,-1,-1,-1,0.0013,0.0061,0.0113,1.5681,-1,-1,-1,0.0092,0.0118
-1,7e-4,-1,-1,-1,-1,-1,-1,0.0051,0.0542,-1,-1,-1,-1,0.7885,-1,0.0696,-1,0.0025,0.0089
0.0507,-1,0.0402,-1,-1,-1,0.0047,-1,-1,-1,0.0327,9e-4,0.0029,0.0084,0.8849,-1,0.0662,0.003,0.0026,0.0093
0.0768,-1,0.0281,-1,0.0025,0.0528,0.0119,0.0011,0.0038,0.0796,0.0463,-1,0.0053,0.0069,-1,-1,0.1589,0.0055,0.0039,0.0169
0.072,0.0026,0.0207,0.95056562,0.0031,0.0636,0.016,-1,0.0038,0.1515,0.0845,0.0047,0.0122,0.0159,1.8481,-1,0.1378,0.0047,0.0146,0.0324
0.0602,-1,-1,1.23032465,-1,0.0356,0.0043,5e-4,-1,0.0823,0.064,-1,0.0059,0.0067,1.4611,-1,0.0844,0.0043,0.0083,0.0211
0.0442,0.0015,0.0211,1.25727951,0.0019,0.0286,0.0071,-1,-1,0.0795,0.0669,-1,0.006,0.0069,1.7755,-1,-1,-1,0.0107,0.0177
0.0467,0.0013,-1,0.85592361,0.0012,-1,0.0031,-1,0.0032,-1,0.0499,-1,0.0037,0.0089,1.8636,7e-4,-1,-1,0.0078,0.0098
-1,5e-4,0.0111,0.64588056,-1,-1,-1,7e-4,0.0045,-1,-1,-1,0.0035,0.008,1.0309,-1,-1,-1,0.0028,-1
-1,0.0014,0.0165,-1,0.0029,0.0314,-1,-1,-1,-1,0.0422,3e-4,0.0016,0.0104,-1,0.0014,0.0839,0.0029,0.0022,0.0106
0.0506,0.001,0.0098,-1,0.0028,0.0289,0.0029,-1,-1,-1,0.0339,3e-4,0.0036,-1,0.9848,-1,0.0799,-1,0.0047,0.0101
-1,-1,-1,0.80775625,-1,-1,0.0061,0.0016,-1,0.057,-1,3e-4,0.0033,-1,1.4003,-1,-1,-1,0.0054,0.0124
-1,-1,-1,0.60460069,4e-4,0.0431,0.0087,-1,-1,0.0664,0.0434,0.0015,0.0086,-1,1.0061,-1,0.1632,0.0036,0.0068,0.034
0.0452,0.0019,0.0111,0.64086979,0.0035,0.0265,0.0028,0.0011,0.0033,-1,0.0352,0.0023,0.0033,-1,1.0418,-1,-1,-1,0.0053,0.0097
0.0486,9e-4,-1,-1,0.0043,0.0269,0.0048,7e-4,-1,-1,0.0415,-1,0.0043,0.0067,2.1757,-1,-1,0.0032,0.0045,0.0105
0.0472,-1,0.0292,-1,-1,0.0315,-1,0.0016,-1,-1,-1,-1,-1,0.0106,0.9105,-1,-1,-1,-1,-1
0.0705,-1,0.0148,-1,0.0019,0.0443,0.0025,8e-4,-1,0.0643,0.0423,3e-4,0.0037,0.0078,0.9615,-1,0.1879,-1,0.0031,0.0249
0.0835,0.0018,-1,0.69660833,-1,0.0391,0.0032,7e-4,-1,0.085,0.0586,1e-4,0.0071,0.0083,1.8397,0.0034,0.1061,0.0048,0.0045,0.0146
0.0462,-1,-1,-1,0.0014,0.0415,0.0058,8e-4,0.0037,0.0557,0.0379,-1,0.0043,0.0131,0.7839,0.0016,0.0621,0.0031,0.0051,0.0135
