Al,As,Ba,bc,Br,Ca,Cl,Cr,Cu,Fe,K,Mn,Ni,Pb,S,Se,Si,Ti,V,Zn
0.0194,0,0,0.68213194,0.002,0.0231,0.0027,5e-4,0.0054,0.026,0.0297,0,0.0026,0.0028,0.7499,0,0.0265,7e-4,0.0033,0.0072
0.0263,0.0012,0.0206,0.37207326,0.0151,0.0428,0.0239,9e-4,0.0056,0.0686,0.0439,0,0.0055,0.0057,0.5468,0,0.0956,-1,0.0044,0.0244
0.0281,0,0.0099,0.41831667,0,0.0332,0.0044,5e-4,0.0026,0.0369,0.0182,0,0.0025,0.0042,0.3856,4e-4,0.0191,0.0018,0.0056,0.0094
0.0117,5e-4,0.0076,0.36056667,-1,0.0167,0.0022,0,0.0033,0.0211,0.0247,4e-4,-1,0.0043,0.4801,0,0.0075,0.0028,0.0026,0.0043
0.0102,0.0019,0.0022,-1,-1,0.0145,0.0034,8e-4,0.003,0.0346,-1,0,0.0045,0.0028,0.9243,0,0.0212,0.0011,0.0042,0.0069
0.0387,8e-4,0.0256,1.09344965,0,-1,0.0043,4e-4,0.0033,0.1031,0.0505,0.0023,0.0094,0.0031,1.3946,0,0.0294,0.0014,0.01,0.0256
0.0217,-1,0.0037,0.55182083,0,0.0214,0.0018,6e-4,0.0037,0.0651,0.0383,-1,0.0044,0.0025,0.9428,0,0.0252,0.0022,0.0032,0.0148
0.0118,0,0.0026,0.64147083,8e-4,0.0154,0.0022,8e-4,0.0035,0.047,0.03,0.0013,0.0038,0.0038,1.1079,4e-4,0.0189,0.0024,0.004,0.0096
0.0376,0.0015,0.0157,1.00802431,0.0016,0.0326,0.0079,0.0015,-1,0.1368,0.05,0,0.0074,0.0035,1.0768,0,0.1001,0.0038,0.0061,0.0368
0.0401,0,0.0295,-1,4e-4,0.0254,0.0019,0,0.0049,0.0546,0.0318,0,0.0018,0.0045,0.6331,0,0.0528,0.0019,0.0033,-1
-1,0.0013,5e-4,0.24518472,0.0019,0.0312,-1,0,0.0023,0.0445,0.0303,0,0.0027,0.0044,0.6099,0,0.0646,0.0021,0.0015,0.0052
0.0264,7e-4,0.01,0.24655174,0.002,0.0234,0.022,1e-4,0.002,0.0394,0.0295,0.002,0.0033,0.0083,0.693,-1,0.0433,0.0026,0.0032,0.0064
0.0418,4e-4,-1,0.35497757,3e-4,0.0285,3e-4,0,0.0013,0.0512,0.0278,0.0024,0.0018,-1,0.6335,0,0.072,0.0027,0.0013,0.0123
